0.286,0.0374,0.678,0,0.134,0.366,7ABD15iASBIpPP5uJ5awvq
0.643,0.0327,0.0364,0.74,0.105,0.212,7ABD15iASBIpPP5uJ5awvq
0.267,0.0299,0.839,1.46e-06,0.089,0.0592,7ABD15iASBIpPP5uJ5awvq
0.256,0.0449,0.842,2.38e-06,0.088,0.103,7ABD15iASBIpPP5uJ5awvq
0.477,0.0492,0.61,0.00188,0.122,0.488,7ABD15iASBIpPP5uJ5awvq
0.308,0.0677,0.946,0,0.186,0.361,7ABD15iASBIpPP5uJ5awvq
0.327,0.029,0.761,2.96e-05,0.103,0.381,7ABD15iASBIpPP5uJ5awvq
0.178,0.0574,0.607,0,0.623,0.608,7ABD15iASBIpPP5uJ5awvq
0.111,0.0972,0.978,3.97e-05,0.0897,0.198,7ABD15iASBIpPP5uJ5awvq
0.311,0.0288,0.818,1.65e-05,0.107,0.246,7ABD15iASBIpPP5uJ5awvq
0.308,0.0296,0.778,1.46e-05,0.092,0.153,7ABD15iASBIpPP5uJ5awvq
0.466,0.0302,0.393,0.647,0.165,0.19,7ABD15iASBIpPP5uJ5awvq
0.34,0.0824,0.807,0,0.0864,0.449,7ABD15iASBIpPP5uJ5awvq
0.369,0.0441,0.969,0.277,0.638,0.0989,7ABD15iASBIpPP5uJ5awvq
0.187,0.0347,0.988,0.00197,0.106,0.118,7ABD15iASBIpPP5uJ5awvq
0.417,0.0338,0.164,0.00196,0.113,0.124,7ABD15iASBIpPP5uJ5awvq
0.448,0.0276,0.8,0.182,0.107,0.077,7ABD15iASBIpPP5uJ5awvq
0.201,0.033,0.899,0.00163,0.077,0.196,7ABD15iASBIpPP5uJ5awvq
0.0887,0.0334,0.902,1.76e-06,0.0873,0.356,7ABD15iASBIpPP5uJ5awvq
0.4,0.0291,0.893,0.576,0.161,0.433,7ABD15iASBIpPP5uJ5awvq
0.575,0.0573,0.604,0,0.0885,0.183,7ABD15iASBIpPP5uJ5awvq
0.561,0.027,0.317,0.00641,0.184,0.541,7ABD15iASBIpPP5uJ5awvq
